customer_id,first_name,last_name,email,phone,country,country_code,city,loyalty_tier,newsletter_subscribed,registration_date
454008,Agnieszka,Perez,agnieszka.perez147@icloud.com,+37664634125,Germany,DE,Dusseldorf,silver,False,2023-04-30
410740,Tomasz,Ricci,tomaszricci662@hotmail.com,+39519930083,Poland,PL,Bydgoszcz,gold,True,2022-12-11
412091,Anna,Schneider,annaschneider@protonmail.com,+48202579039,Germany,DE,Munich,platinum,True,2020-10-03
408151,Sebastian,Fernandez,sebastianfernandez@outlook.com,+43918041802,Spain,ES,Seville,platinum,True,2020-04-22
455690,Ingrid,Jones,ingrid_jones@gmail.com,,France,FR,Rennes,silver,False,2022-08-28
417047,Pablo,Wisniewski,pablo.wisniewski11@hotmail.com,+44620506264,France,FR,Marseille,bronze,True,2023-02-19
462423,Beatrice,Nielsen,beatrice_nielsen@icloud.com,+33290306358,Italy,IT,Rome,silver,False,2020-11-05
428152,Francesca,Ferrari,francescaferrari452@protonmail.com,+31824823116,France,FR,Toulouse,bronze,True,2023-11-11
458479,Martina,Kowalski,martinakowalski54@live.com,+42923682643,Germany,DE,Berlin,bronze,True,2021-02-11
410233,Valentina,Esposito,valentina_esposito15@protonmail.com,+32336832921,France,FR,Toulouse,bronze,True,2020-10-31
448404,Chiara,Kaminski,chiarakaminski335@icloud.com,+36681648793,France,FR,Toulouse,bronze,True,2021-03-26
488712,Martina,Davies,martina_davies412@outlook.com,+36592606909,Spain,ES,Madrid,silver,False,2022-07-21
468977,Chiara,Bruno,chiara.bruno@gmail.com,+47949608711,UK,GB,Sheffield,gold,True,2021-07-22
452789,Stefano,Jones,stefanojones@hotmail.com,+35782205574,Spain,ES,Valencia,silver,False,2019-12-27
477101,Ana,Esposito,anaesposito@protonmail.com,+37640543154,Germany,DE,Dortmund,platinum,True,2019-08-05
473265,Alice,Diaz,alice.diaz@gmail.com,+31247699074,UK,GB,Cardiff,bronze,True,2022-08-11
468019,Thomas,Colombo,thomas.colombo@protonmail.com,+40244168106,Germany,DE,Leipzig,silver,True,2023-11-05
451744,Jack,Rodriguez,jack.rodriguez751@yahoo.com,+47158061488,France,FR,Toulouse,silver,True,2021-04-22
434562,Charlotte,Jones,charlotte.jones@gmail.com,+36155949312,Italy,IT,Genoa,bronze,True,2020-06-25
476585,Valentina,Schneider,valentinaschneider@yahoo.com,+46183928507,UK,GB,Leeds,bronze,True,2021-02-03
465382,Anna,Lewandowski,anna.lewandowski@outlook.com,+36391908293,France,FR,Strasbourg,bronze,False,2022-10-20
483422,Charlotte,Schmidt,charlotte_schmidt@live.com,+34980042882,Germany,DE,Dusseldorf,bronze,False,2023-01-18
455498,Alessandro,Torres,alessandrotorres@hotmail.com,+42597841726,Germany,DE,Munich,bronze,False,2020-01-10
457682,Ana,Durand,anadurand@gmail.com,+30637622321,Italy,IT,Turin,bronze,False,2022-12-13
490310,Amelia,Wilson,amelia_wilson@gmail.com,+43141690057,Spain,ES,Bilbao,bronze,True,2021-01-24
464165,Marek,Lopez,mareklopez727@protonmail.com,+31798905354,Germany,DE,Stuttgart,bronze,True,2021-06-22
495907,Lucas,Colombo,lucas_colombo@hotmail.com,+49589058010,Spain,ES,Valencia,bronze,True,2024-05-01
454646,Antoine,Ferrari,antoine.ferrari@outlook.com,+48186273351,Spain,ES,Murcia,bronze,False,2020-10-28
421344,Ella,Lopez,ellalopez991@icloud.com,+39888055028,Germany,DE,Dusseldorf,gold,True,2020-05-05
418919,Lucia,Leroy,lucia_leroy@protonmail.com,+39106893748,Netherlands,NL,Tilburg,gold,True,2020-03-27
466294,Davide,Kaminski,davidekaminski@yahoo.com,+35502278868,France,FR,Bordeaux,bronze,False,2020-12-17
416662,Ingrid,Robert,ingrid_robert@gmail.com,+35968848930,Italy,IT,Turin,bronze,False,2023-03-01
463539,Martina,Schmidt,martina.schmidt387@hotmail.com,+30728833035,Italy,IT,Milan,bronze,True,2019-06-30
493211,Elena,Gonzalez,elena.gonzalez@gmail.com,+36660852445,UK,GB,London,bronze,False,2023-07-19
459993,Monika,Taylor,monikataylor@hotmail.com,+37487846953,France,FR,Nantes,bronze,True,2022-06-11
416958,Ana,Dubois,ana.dubois@gmail.com,+49231957007,Spain,ES,Valencia,bronze,True,2022-07-19
492343,Piotr,Nielsen,piotrnielsen@gmail.com,+41149128285,Italy,IT,Florence,silver,False,2021-05-26
467264,Lisa,Wisniewski,lisawisniewski@outlook.com,+33888424722,Italy,IT,Palermo,silver,True,2023-11-02
469355,Ingrid,Colombo,ingrid.colombo@live.com,+44280445368,Italy,IT,Venice,platinum,False,2024-01-05
415474,Hans,Martinez,hans.martinez967@gmail.com,,Spain,ES,Barcelona,gold,False,2022-09-04
491025,Sebastian,Schulz,sebastianschulz488@protonmail.com,+34673961503,Sweden,SE,Gothenburg,bronze,False,2021-04-26
427871,Davide,Taylor,davide_taylor@protonmail.com,+47569184646,UK,GB,Bristol,bronze,True,2021-11-21
459694,Valentina,Robert,valentina.robert607@icloud.com,+41236813458,Netherlands,NL,Rotterdam,platinum,True,2022-01-21
462043,Elena,Weber,elena_weber@live.com,+34658078796,France,FR,Nantes,silver,True,2022-10-11
404273,Marco,Lindqvist,marco_lindqvist966@outlook.com,+44258296773,France,FR,Toulouse,bronze,True,2022-02-19
497844,Miguel,Richard,miguel_richard@protonmail.com,+36631529611,Spain,ES,Palma,platinum,True,2022-04-01
420557,Laura,Wagner,laurawagner@live.com,+35623454129,Italy,IT,Rome,bronze,True,2019-08-07
473272,Manon,Nowak,manon_nowak@live.com,,Germany,DE,Stuttgart,silver,False,2021-01-27
448409,Manon,Nowak,manon.nowak771@live.com,+39591271783,UK,GB,London,silver,False,2023-07-08
415566,Carlos,Leroy,carlos.leroy767@hotmail.com,+48209465657,Italy,IT,Rome,platinum,True,2022-08-13
478852,Ella,Schmidt,ella.schmidt998@gmail.com,+46798037200,Germany,DE,Berlin,bronze,True,2022-11-07
453558,Anna,Colombo,anna.colombo501@yahoo.com,+42933062386,France,FR,Strasbourg,gold,True,2023-05-11
414461,Charlotte,Perez,charlotteperez@gmail.com,+32231051868,France,FR,Lyon,silver,True,2019-08-11
415842,Lucas,Perez,lucasperez@outlook.com,+45792130377,UK,GB,Manchester,bronze,True,2020-04-04
448442,Javier,Bruno,javierbruno@outlook.com,+30522835822,UK,GB,Manchester,silver,False,2019-12-16
474942,Elise,Richard,elise.richard@live.com,+49846482380,Poland,PL,Lodz,silver,False,2020-06-17
437957,Chiara,Petit,chiarapetit166@live.com,+31190849645,Italy,IT,Bologna,silver,False,2024-01-17
405279,Marie,Lewandowski,marielewandowski308@live.com,+39807765063,Italy,IT,Venice,bronze,False,2022-01-28
468521,Elise,Davies,elisedavies@protonmail.com,,Italy,IT,Milan,bronze,True,2020-07-21
420093,Manon,Becker,manonbecker132@gmail.com,+47373769135,Spain,ES,Murcia,silver,True,2022-10-25
415432,Agnieszka,Martin,agnieszka_martin@icloud.com,+36175761121,Netherlands,NL,The Hague,bronze,True,2022-07-31
448688,Ines,Muller,ines_muller@outlook.com,+30748118351,France,FR,Bordeaux,bronze,True,2024-01-29
439967,Isabella,Bruno,isabella_bruno@live.com,+38257120244,France,FR,Nantes,bronze,True,2020-03-31
449081,Charlotte,Schulz,charlotte_schulz@yahoo.com,+46882035603,UK,GB,Birmingham,silver,False,2020-03-23
439748,Leo,Brown,leobrown@icloud.com,+33151500184,France,FR,Nice,platinum,False,2020-12-13
438532,Lucia,Wisniewski,lucia_wisniewski@protonmail.com,+34806052829,France,FR,Rennes,bronze,False,2019-11-12
463691,Oliver,Martinez,olivermartinez@outlook.com,+41957349455,Spain,ES,Valencia,bronze,False,2023-11-04
403667,Camille,Diaz,camillediaz@live.com,+40196787722,Netherlands,NL,Tilburg,bronze,True,2020-03-17
418726,Marie,Greco,marie.greco@live.com,+30555248944,Germany,DE,Leipzig,platinum,True,2023-06-30
418630,Erik,Richard,erik_richard195@protonmail.com,+43854402110,Netherlands,NL,Amsterdam,bronze,True,2023-03-25
477283,Marie,Schulz,marie.schulz860@gmail.com,+43632047514,Italy,IT,Florence,bronze,True,2022-04-16
455280,Anna,Richard,anna_richard301@protonmail.com,+48522647841,France,FR,Paris,bronze,True,2023-05-09
406376,Lisa,Greco,lisa_greco472@gmail.com,+30475510815,France,FR,Nantes,bronze,False,2019-06-28
439998,Stefano,Zielinski,stefano_zielinski542@outlook.com,,Germany,DE,Munich,silver,False,2021-05-03
437156,Monika,Nowak,monika_nowak439@live.com,+38216710352,Poland,PL,Lublin,silver,False,2020-10-15
428256,Beatrice,Davies,beatricedavies@gmail.com,,France,FR,Toulouse,bronze,False,2019-09-07
423996,Antoine,Meyer,antoine_meyer@outlook.com,+45690690799,Sweden,SE,Gothenburg,silver,True,2022-03-06
496948,George,Kowalski,george.kowalski111@yahoo.com,,UK,GB,Manchester,silver,True,2022-04-28
464067,Ella,Ferrari,ella_ferrari@live.com,+43366016633,France,FR,Lyon,silver,True,2021-07-15
400273,Sebastian,Robert,sebastian_robert@yahoo.com,+45858556609,Italy,IT,Palermo,bronze,True,2021-01-07
416033,Laura,Hoffmann,laura.hoffmann40@yahoo.com,+43118963722,France,FR,Toulouse,bronze,True,2022-08-25
471766,Isabella,Diaz,isabelladiaz@outlook.com,+45165873766,Italy,IT,Florence,silver,False,2020-05-07
445698,Friedrich,Evans,friedrich_evans@hotmail.com,,Spain,ES,Seville,bronze,False,2021-03-20
408855,Julia,Nielsen,julia_nielsen@hotmail.com,+45490392385,Italy,IT,Naples,bronze,True,2024-02-09
405856,Giovanni,Williams,giovanni_williams@icloud.com,+49498994177,France,FR,Strasbourg,bronze,False,2020-02-27
454732,Martina,Petit,martinapetit@protonmail.com,+36307154333,Italy,IT,Bari,gold,True,2024-01-24
463068,Pablo,Torres,pablotorres@protonmail.com,+34147041818,UK,GB,Edinburgh,bronze,False,2024-03-06
475112,Lucia,Evans,lucia_evans@gmail.com,+45549902288,Italy,IT,Palermo,platinum,True,2020-10-31
440593,Sebastian,Petit,sebastian_petit580@protonmail.com,+42631530009,Italy,IT,Turin,gold,True,2020-10-27
474155,Katarzyna,Kowalski,katarzynakowalski@yahoo.com,+35103866057,France,FR,Nice,bronze,True,2023-10-11
459293,Agnieszka,Sanchez,agnieszka_sanchez@icloud.com,+33283726992,France,FR,Nice,silver,False,2019-09-30
444279,Simone,Perez,simone.perez810@live.com,,Italy,IT,Turin,silver,False,2022-03-05
449454,Alessandro,Sanchez,alessandrosanchez920@gmail.com,+30984690021,Spain,ES,Malaga,silver,False,2020-12-01
462289,Klaus,Esposito,klausesposito@gmail.com,+42802038944,Poland,PL,Katowice,silver,True,2023-03-05
494376,Nicolas,Jones,nicolas_jones645@yahoo.com,+44348810825,UK,GB,Bristol,bronze,True,2023-06-28
479391,Valentina,Christensen,valentina.christensen@yahoo.com,+48626690096,UK,GB,Manchester,bronze,False,2019-08-05
417407,Miguel,Muller,miguel.muller@gmail.com,+34177361692,Spain,ES,Seville,bronze,False,2020-04-07
499870,Leo,Durand,leodurand@outlook.com,,Italy,IT,Milan,bronze,True,2020-07-15
418156,Anna,Martin,anna_martin643@live.com,+33682365530,Germany,DE,Berlin,bronze,True,2021-02-18
466160,Beatrice,Eriksson,beatriceeriksson@hotmail.com,+45265907416,UK,GB,Glasgow,silver,False,2024-01-14
460415,Alice,Esposito,alice.esposito304@yahoo.com,,Italy,IT,Palermo,bronze,True,2022-06-02
499834,Julia,Schulz,juliaschulz906@outlook.com,+35218257262,Spain,ES,Barcelona,platinum,False,2022-06-15
458973,Francesca,Williams,francesca.williams947@icloud.com,+34291198819,Netherlands,NL,Amsterdam,bronze,True,2023-01-12
487453,Laura,Torres,lauratorres@hotmail.com,+45810529016,France,FR,Lyon,bronze,True,2019-06-07
458861,Laura,Leroy,laura_leroy458@live.com,+32221508953,Spain,ES,Palma,platinum,False,2020-08-23
419527,Valentina,Jones,valentina.jones395@outlook.com,+45844554951,France,FR,Lille,silver,False,2020-08-03
495402,Anna,Kowalski,anna_kowalski@icloud.com,+47981976044,Germany,DE,Leipzig,bronze,False,2023-11-24
442626,Nicolas,Bernard,nicolas.bernard209@hotmail.com,+47608874541,Sweden,SE,Stockholm,gold,True,2022-05-21
411706,Emily,Durand,emily_durand@outlook.com,+37326277525,Poland,PL,Lublin,bronze,True,2020-05-30
481889,Simone,Roberts,simoneroberts989@protonmail.com,+33811619517,France,FR,Paris,bronze,True,2019-09-02
487097,Simone,Evans,simone.evans79@yahoo.com,+35604406044,Italy,IT,Palermo,silver,False,2023-05-31
481735,Isabella,Taylor,isabella_taylor@gmail.com,+34164425366,Spain,ES,Zaragoza,bronze,True,2023-09-11
453690,Antoine,Ferrari,antoine_ferrari@icloud.com,+38714250258,Spain,ES,Palma,silver,False,2020-09-30
450755,Friedrich,Bernard,friedrichbernard974@outlook.com,+49160126132,Italy,IT,Turin,bronze,True,2023-05-26
430516,Lucas,Smith,lucassmith@gmail.com,+41794332141,UK,GB,Manchester,bronze,True,2020-01-28
451825,Emily,Williams,emily.williams167@yahoo.com,+49111786474,Germany,DE,Hamburg,bronze,True,2019-09-09
444433,Hans,Gonzalez,hans.gonzalez@live.com,,Germany,DE,Essen,bronze,False,2019-06-27
470909,James,Rodriguez,james_rodriguez@protonmail.com,+41239067697,France,FR,Bordeaux,bronze,False,2023-09-12
